batch_time,teams,channel,status,page_url,match_url,screenshot_url
2025-03-29T03:09:42.329142,فولام VS كريستال بالاس,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:09:43.165563,ريال سوسيداد VS ريال بلد الوليد,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:09:43.723423,فينيسيا VS بولونيا,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:09:44.545469,بوروسيا مونشنجلادباخ VS لايبزج,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:09:45.477442,بايرن ميونيخ VS سانت باولي,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:09:46.217270,فولفسبورج VS هايدنهايم,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:09:46.849081,إسبانيول VS أتليتكو مدريد,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:09:47.758201,ستاد ريمس VS أولمبيك مارسيليا,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:09:48.638751,يوفنتوس VS جنوى,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:09:49.162412,برايتون VS نوتينجهام فورست,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:09:50.058395,آينتراخت فرانكفورت VS شتوتجارت,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:09:50.707853,ديبورتيفو ألافيس VS رايو فايكانو,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:09:51.546022,سانت إيتيان VS باريس سان جيرمان,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:09:52.391413,ليتشي VS روما,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:09:53.381650,ريال مدريد VS ليجانيس,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:09:53.921210,موناكو VS نيس,غير معروف,Reported,https://kooora.live-kooora.com/,,
